v2ProductName,canonical_category,row_count
Google Youth Short Sleeve Tee Red,Home/Apparel/Kid's/Kids-Youth/,528
Google Youth Short Sleeve Tee White,Home/Apparel/Kid's/Kids-Youth/,1030
Google Youth Sports Tee Navy,Home/Apparel/Kid's/Kids-Youth/,737
Google Youth Tee Fruit Games Banana,Home/Fruit Games/,67
Google Youth Tee Fruit Games Cherries,Home/Fruit Games/,56
Google Youth Tee Fruit Games Lemon,Home/Fruit Games/,52
Google Youth Tee Fruit Games Pineapple,Home/Fruit Games/,102
Google Youth Tee Fruit Games Strawberry,Home/Fruit Games/,83
Google Zipper-front Sports Bag,Home/Bags/,1009
Grip Highlighter Pen 3 Pack,Office,297
Grip Kit Cable Organizer,Home/Electronics/,534
Gunmetal Roller Ball Pen,Office,297
Insulated Bottle,Home/Drinkware/Water Bottles and Tumblers/,847
Keyboard DOT Sticker,Home/Accessories/Stickers/,5667
Kick Ball,Home/Lifestyle/,204
Koozie Can Kooler,Home/Accessories/Drinkware/,391
Large Recycled Journal/Pen Combo,Home/Office/,270
Large Zipper Top Tote Bag,Home/Bags/Shopping and Totes/,1376
Latitudes Foldaway Shopper,Home/Limited Supply/Bags/,243
Leather and Metal Ballpoint Pen,Home/Office/Writing Instruments/,689
Leatherette Journal,Home/Office/Notebooks & Journals/,3508
Maze Pen,Home/Office/Writing Instruments/,2244
Men's Softshell Jacket Black/Grey,Apparel,567
Men's Weatherblock Shell Jacket Black,Apparel,595
Metal Earbuds with Small Zipper Case,Home/Electronics/,1779
Metal Texture Roller Pen,Home/Office/Writing Instruments/,669
Micro Wireless Earbud,Home/Electronics/Audio/,5194
Micro Wireless Earbuds,Home/Electronics/,1689
Mistral Rucksack,Home/Limited Supply/Bags/,1014
My T-Shirt,(not set),1
Oasis Backpack,Home/Limited Supply/Bags/,867
PaperMate Ink Joy Pen,Home/Office/,111
PaperMate Ink Joy RT Pen,Home/Office/,213
PaperMate Ink Joy Retractable Pen,Home/Office/,159
Parker Gunmetal CT Ball Pen,Home/Office/,86
Pen Pencil & Highlighter Set,Home/Office/,2082
Pet Feeding Mat,(not set),4
Plastic Sliding Flashlight,Home/Electronics/Flashlights/,873
Pop-a-Point Crayon,(not set),105
PowerClip Lightning Charger,Home/Electronics/,298
Powerbank Flashlight,Electronics,11
Quatro Retractable Pen,(not set),112
Rainbow Stylus Pen,Office,524
Recycled Mouse Pad,Electronics,2425
Recycled Paper Journal Set,Office,3157
Red Shine 15 oz Mug,Home/Drinkware/Mugs and Cups/,5143
Red Spiral Google Notebook,Home/Office/Notebooks & Journals/,1576
Retractable Ballpoint Pen Red,Home/Office/Writing Instruments/,609
Reusable Shopping Bag,Home/Bags/Shopping and Totes/,1094
Rocket Flashlight,Home/Electronics/Flashlights/,1314
Rubber Grip Ballpoint Pen 4 Pack,Home/Office/,1190
SPF-15 Lip Balm,Home/Lifestyle/,80
SPF-15 Slim & Slender Lip Balm,Home/Accessories/Fun/,1103
Satin Black Ballpoint Pen,Home/Office/Writing Instruments/,334
Screen Cleaning Cloth,Home/Office/Office Other/,8
Seat Pack Organizer,Home/Office/,1450
Set of 3 Nested Travel Cases,Home/Limited Supply/Bags/,210
Set of 3 Packing Cubes,Home/Office/,126
Softsided Travel Pouch Set,Home/Bags/,1553
Solo Pro Backpack,Home/Limited Supply/Bags/,580
Speed Zone Air Mesh Tote,Home/Limited Supply/Bags/,118
Spiral Notebook and Pen Set,Home/Office/Notebooks & Journals/,2128
Sport Bag,Home/Bags/,2250
Stadium Cups-Sets of 4,Home/Accessories/Drinkware/,175
Straw Beach Mat,Home/Accessories/Fun/,824
Suitcase Organizer Cubes,Home/Bags/,1386
Switch Tone Color Crayon Pen,Home/Accessories/Fun/,1054
UFO Bluetooth Water Resistant Speaker,Home/Electronics/,281
UpCycled Bike Saddle Bag,Home/Accessories/Sports & Fitness/,185
UpCycled Handlebar Bag,Home/Bags/More Bags/,392
Waterpoof Gear Bag,Home/Limited Supply/Bags/,331
Waterproof Backpack,Home/Bags/Backpacks/,10217
Waterproof Gear Bag,Home/Bags/More Bags/,1218
Waze Baby on Board Window Decal,Waze,343
Waze Dress Socks,Waze,269
Waze Men's Short Sleeve Tee,Waze,315
Waze Men's Typography Short Sleeve Tee,Waze,135
Waze Mobile Phone Vent Mount,Home/Electronics/Electronics Accessories/,955
Waze Mood Happy Window Decal,Home/Accessories/Stickers/,269
Waze Mood Ninja Window Decal,Home/Accessories/Stickers/,508
Waze Mood Original Window Decal,Waze,511
Waze Pack of 9 Decal Set,Home/Accessories/Stickers/,180
Waze Women's Short Sleeve Tee,Waze,81
Waze Women's Typography Short Sleeve Tee,Waze,35
Windup Android,Home/Accessories/Fun/,3059
Women's Performance Full Zip Jacket Black,Apparel,410
Women's Weatherblock Shell Jacket Black,Apparel,150
Women's YouTube Short Sleeve Hero Tee Black,Home/Shop by Brand/YouTube/,821
Yoga Block,Home/Accessories/Sports & Fitness/,602
Yoga Mat,Home/Accessories/Sports & Fitness/,1234
Yoga Mat Blue,Lifestyle,224
Yoga Mat Purple,Lifestyle,55
You Tube Toddler Short Sleeve Tee Red,Home/Shop by Brand/YouTube/,747
YouTube 22 oz Infuser Bottle,Home/Shop by Brand/YouTube/,53
YouTube 24 oz Stripe Accent Bottle,Home/Shop by Brand/YouTube/,74
YouTube Custom Decals,Home/Shop by Brand/YouTube/,9588
YouTube Hard Cover Journal,Home/Shop by Brand/YouTube/,1754
YouTube Infant Short Sleeve Tee Red,Apparel,99
YouTube Leatherette Notebook Combo,Home/Shop by Brand/YouTube/,5930
YouTube Luggage Tag,Home/Shop by Brand/YouTube/,701
YouTube Men's 3/4 Sleeve Henley,Apparel,521
YouTube Men's Eco-Jersey Henley,Home/Apparel/Men's/Men's-T-Shirts/,238
YouTube Men's Fleece Hoodie Black,Apparel,1320
YouTube Men's Long & Lean Tee Charcoal,Home/Shop by Brand/YouTube/,189
YouTube Men's Long Sleeve Pullover Badge Tee Heather,Home/Shop by Brand/YouTube/,1368
YouTube Men's Short Sleeve Hero Tee  White,Apparel,21
YouTube Men's Short Sleeve Hero Tee Black,Home/Shop by Brand/YouTube/,5254
YouTube Men's Short Sleeve Hero Tee Charcoal,Home/Shop by Brand/YouTube/,2707
YouTube Men's Short Sleeve Hero Tee White,Home/Shop by Brand/YouTube/,1900
YouTube Men's Skater Tee Charcoal,Apparel,224
YouTube Men's Vintage Henley,Apparel,1152
YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,710
YouTube Men's Vintage Tee,Home/Shop by Brand/YouTube/,786
YouTube Notebook Set,Home/Shop by Brand/YouTube/,80
YouTube Notebook and Pen Set,Home/Shop by Brand/YouTube/,1459
YouTube Onesie Heather,Home/Apparel/Kid's/Kid's-Infant/,791
YouTube RFID Journal,Home/Shop by Brand/YouTube/,2406
YouTube Spiral Journal with Pen,Home/Shop by Brand/YouTube/,1068
YouTube Sticker Sheet,Home/Shop by Brand/YouTube/,185
YouTube Trucker Hat,Home/Shop by Brand/YouTube/,3382
YouTube Twill Cap,Home/Shop by Brand/YouTube/,5795
YouTube Women's Fleece Hoodie Black,Apparel,684
YouTube Women's Racer Back Tank Black,Home/Apparel/Women's/Women's-T-Shirts/,135
YouTube Women's S/S Crew Tee,(not set),46
YouTube Women's Short Sleeve Crew Tee,(not set),100
YouTube Women's Short Sleeve Hero Tee Charcoal,Apparel,365
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Apparel,388
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,Home/Shop by Brand/YouTube/,149
YouTube Womens 3/4 Sleeve Baseball Raglan White/Black,(not set),223
YouTube Wool Heather Cap Heather/Black,Home/Shop by Brand/YouTube/,2458
YouTube Youth Short Sleeve Tee Red,Home/Apparel/Kid's/Kids-Youth/,1571
