v2ProductName,canonical_category,row_count
BLM Sweatshirt (Pre-Order),Home/Apparel/Men's/Men's-Outerwear/,72
Badge Holder,Home/Office/Office Other/,2393
Ballpoint LED Light Pen,Home/Office/Writing Instruments/,1162
Ballpoint Pen & Matching Tube Case,Office,424
Ballpoint Pen Blue,Office,941
Ballpoint Stick Pen 4 Pack,Office,1280
Ballpoint Stylus Pen,Home/Office/,352
Basecamp Explorer Powerbank Flashlight,Home/Electronics/Flashlights/,1364
Bic Digital Clic Stic Stylus Pen,Home/Office/,151
Bic Intensity Clic Gel Pen,Home/Office/,134
Bic Leather Pen,Home/Office/,31
Bic Tri-Tone Twist Pen,Home/Office/,29
Blue Keeper Notebook Set with Flap,Home/Office/,163
Blue Metallic Textured Spiral Notebook Set,Home/Office/,413
Bottle Opener Clip,Home/Drinkware/,910
Carabiner Flashlight,Home/Electronics/Flashlights/,5
Chevron Shopper,Home/Limited Supply/Bags/,278
Clip-on Compact Charger,Home/Electronics/,1322
Collapsible Pet Bowl,Home/Lifestyle/,101
Collapsible Shopping Bag,Home/Bags/Shopping and Totes/,2009
Color Changing Grip Pen,Office,982
Colored Pencil Set,Home/Office/,1403
Colored Pencil Set with Sharpener,Home/Office/Writing Instruments/,6
Compact Bluetooth Speaker,Home/Electronics/Audio/,1051
Compact Eco Journal,Home/Office/,175
Compact Journal with Recycled Pages,Home/Office/,452
Compact Selfie Stick,Home/Electronics/Electronics Accessories/,846
Crunch Noise Dog Toy,Home/Accessories/Pet/,1124
Crunch-It Dog Toy,Home/Lifestyle/,341
Deluge Waterproof Backpack,Home/Limited Supply/Bags/,897
Digital Lightshow Smart Speaker and Notification Center,Home/Electronics/,1209
Eco-Aware Large Recycled Journal Combo,(not set),47
Eco-Aware Recycled Journal Combo,(not set),113
Electronics Accessory Pouch,Home/Bags/,1818
Engraved Ceramic Google Mug,Home/Drinkware/Mugs and Cups/,5417
Executive Twist Ballpoint Pen,Office,280
Fashion Sunglasses & Pouch,Home/Accessories/Fun/,2347
Foam Can and Bottle Cooler,Drinkware,1765
Four Color Retractable Pen,Office,1220
Galaxy Screen Cleaning Cloth,Office,1069
Gel Roller Pen,Office,455
Gift Card - $25.00,Home/Gift Cards/,1347
Gift Card - $250.00,Home/Gift Cards/,711
Gift Card - $50.00,Home/Gift Cards/,660
Gift Card- $100.00,Home/Gift Cards/,914
Google  Women's Muscle Tee,(not set),255
Google 17 oz Double Wall Stainless Steel Insulated Bottle,Home/Drinkware/Water Bottles and Tumblers/,620
Google 17oz Stainless Steel Sport Bottle,Home/Drinkware/Water Bottles and Tumblers/,2664
Google 22 oz Water Bottle,Drinkware,4997
Google 2200mAh Micro Charger,Home/Electronics/Power/,1178
Google 25 oz Blue Stainless Steel Bottle,Drinkware,330
Google 25 oz Clear Stainless Steel Bottle,Google,307
Google 25 oz Red Stainless Steel Bottle,Home/Drinkware/Water Bottles and Tumblers/,583
Google 3/4 Sleeve Raglan Badge Henley Black,Apparel,615
Google 3/4 Sleeve Raglan Henley Grey,Home/Apparel/Men's/Men's-T-Shirts/,113
Google 40 oz Insulated Monster Bottle,Home/Drinkware/,646
Google 4400mAh Power Bank,Home/Electronics/Power/,843
Google 5-Panel Cap,Home/Apparel/Headgear/,1203
Google 5-Panel Snapback Cap,Home/Apparel/Headgear/,657
Google 7-inch Dog Flying Disc Blue,(not set),1
Google 7-inch Dog Flying Disc Red,(not set),1
Google Accent Insulated Stainless Steel Bottle,Home/Drinkware/,1169
Google Adult Tee Fruit Games Cherries,Home/Fruit Games/,165
Google Adult Tee Fruit Games Dragonfruit,Home/Fruit Games/,281
Google Adult Tee Fruit Games Pineapple,Home/Fruit Games/,376
Google Alpine Style Backpack,Home/Bags/Backpacks/,10940
Google Baby Essentials Set,Home/Apparel/Kid's/Kid's-Infant/,1916
Google Badge Pull,Home/Office/Office Other/,29
Google Ballpoint Pen Black,Home/Office/Writing Instruments/,878
Google Bib Red,Home/Apparel/Kid's/Kid's-Infant/,474
Google Bib White,Home/Apparel/Kid's/Kid's-Infant/,756
Google Blackout Cap,Home/Apparel/Headgear/,1662
Google Bluetooth Headphones,Home/Electronics/Audio/,2401
Google Bluetooth Speaker-Power Bank,Home/Electronics/Audio/,1095
Google Bongo Cupholder Bluetooth Speaker,Home/Electronics/Audio/,1056
Google Canvas Tote Fruit Games Lemon,Home/Fruit Games/,501
Google Canvas Tote Natural/Navy,Home/Bags/Shopping and Totes/,2645
Google Car Clip Phone Holder,Home/Electronics/Electronics Accessories/,1180
Google Collapsible Duffel,Home/Bags/More Bags/,2017
Google Collapsible Duffel Black,More Bags,431
Google Collapsible Duffel Blue,More Bags,214
Google Collapsible Pet Bowl,Home/Accessories/Pet/,1212
Google Collapsible Pet Bowl Blue,Lifestyle,6
Google Device Holder Sticky Pad,Home/Electronics/Electronics Accessories/,800
Google Device Stand,Home/Electronics/Electronics Accessories/,1285
Google Doodle Decal,Home/Accessories/Stickers/,4530
Google Engraved Ceramic Mug,Home/Drinkware/Mugs and Cups/,114
Google Executive Umbrella,Lifestyle,319
Google Flashlight,Home/Electronics/Flashlights/,1528
Google Four Color EDC Flashlight,Home/Accessories/,13
Google French Terry Cap,Home/Apparel/Headgear/,308
Google G Noise-reducing Bluetooth Headphones,Home/Electronics/Audio/,3254
Google Hard Cover Journal,Home/Office/Notebooks & Journals/,1666
Google Heavyweight Long Sleeve Hero Tee Burgundy,Home/Apparel/Men's/Men's-T-Shirts/,1406
Google Heavyweight Long Sleeve Hero Tee Navy,Home/Apparel/Men's/Men's-T-Shirts/,2085
"Google High Capacity 10,400mAh Charger",Home/Electronics/Power/,2228
Google Infant Short Sleeve Tee Cornflower Blue,Apparel,132
Google Infant Short Sleeve Tee Green,Home/Apparel/Kid's/Kid's-Infant/,122
Google Infant Short Sleeve Tee Red,Home/Apparel/Kid's/Kid's-Infant/,343
